"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Josh Reddick","ARI","44","134","141","36","24","11","0","1","12","17","6","0","28","0","1","0","3","0","0",".269","3892"
"Miguel Rojas","MIA","72","268","292","72","47","19","2","4","36","25","20","0","43","4","0","0","4","6","1",".269","7802"
"Jordy Mercer","WSN","35","82","87","22","16","5","0","1","9","2","5","0","22","0","0","0","0","0","0",".268","6547"
"Kris Bryant","CHC","84","302","341","81","45","19","1","16","52","47","33","1","82","5","1","0","6","4","2",".268","15429"
"Charlie Blackmon","COL","87","295","340","79","59","13","2","5","37","43","36","1","44","8","1","0","4","1","0",".268","7859"
"Jed Lowrie","OAK","89","310","343","83","54","18","0","11","42","45","33","1","69","0","0","0","6","0","0",".268","4418"
"Max Schrock","CIN","12","30","31","8","3","3","1","1","3","3","1","0","8","0","0","0","0","0","0",".267","17750"
"Yan Gomes","WSN","61","214","231","57","37","11","1","8","29","33","13","3","46","4","0","0","12","0","0",".266","9627"
"Franmil Reyes","CLE","50","184","201","49","22","10","2","15","27","40","15","2","63","1","1","0","7","2","0",".266","14566"
"Ke'Bryan Hayes","PIT","40","139","159","37","23","9","1","4","20","18","18","0","31","1","1","0","5","2","1",".266","18577"
"Mitch Haniger","SEA","89","350","385","93","53","17","1","22","65","58","26","0","88","5","4","0","7","0","0",".266","14274"
"Nick Maton","PHI","47","113","126","30","20","7","1","2","15","13","9","0","38","2","1","1","0","2","0",".265","21635"
"Corey Seager","LAD","37","147","169","39","26","7","2","4","20","22","19","1","29","3","0","0","4","1","0",".265","13624"
"Jesus Sanchez","MIA","23","83","89","22","15","3","1","3","6","9","5","1","24","1","0","0","0","0","0",".265","19913"
"Willy Adames","- - -","92","317","353","84","45","22","1","16","49","52","36","0","103","0","0","0","4","3","4",".265","15986"
"Amed Rosario","CLE","83","306","327","81","61","11","4","5","41","26","18","0","65","2","1","0","9","9","0",".265","15518"
"Will Smith","LAD","76","238","285","63","38","13","1","11","39","39","33","2","56","9","5","0","9","2","0",".265","19197"
"Kyle Isbel","KCR","12","34","36","9","8","0","1","0","5","3","2","0","15","0","0","0","0","1","0",".265","21614"
"Darin Ruf","SFG","62","121","149","32","15","7","0","10","27","23","25","2","39","2","1","0","6","1","0",".264","9929"
"Jeimer Candelario","DET","84","314","354","83","56","21","0","6","39","27","38","1","83","2","0","0","6","0","0",".264","13621"
"Lourdes Gurriel Jr.","TOR","82","303","323","80","52","17","0","11","35","41","13","0","64","1","5","1","7","1","2",".264","19238"
"Patrick Wisdom","CHC","46","125","134","33","16","4","0","13","22","24","8","0","53","1","0","0","1","2","1",".264","13602"
"Corey Dickerson","MIA","63","205","225","54","37","12","3","2","27","14","16","0","45","3","1","0","5","2","4",".263","10762"
"Brian Goodwin","CHW","27","99","112","26","13","8","1","4","17","15","12","0","26","0","0","1","0","0","0",".263","12858"
"Adolis Garcia","TEX","83","320","342","84","50","10","2","22","43","62","16","0","104","4","2","0","6","8","4",".263","19287"
"Ronald Torreyes","PHI","47","141","148","37","27","7","0","3","14","21","5","0","18","1","0","1","3","1","1",".262","11400"
"Myles Straw","HOU","89","298","342","78","63","12","1","2","40","31","37","0","64","2","4","1","7","13","5",".262","17620"
"Nick Gordon","MIN","25","65","69","17","13","2","1","1","7","4","3","0","19","1","0","0","2","5","0",".262","16337"
"Pavin Smith","ARI","90","325","354","85","57","18","3","7","41","29","26","1","67","2","1","0","8","1","0",".262","19892"
"Josh Rojas","ARI","90","306","352","80","48","21","1","10","47","28","41","0","90","0","1","0","3","6","2",".261","19734"
"Hunter Renfroe","BOS","82","291","323","76","47","16","0","13","47","48","26","0","69","1","5","0","6","0","2",".261","15464"
"Randal Grichuk","TOR","88","337","353","88","53","16","1","18","41","62","12","0","78","2","2","0","13","0","3",".261","10243"
"Ozzie Albies","ATL","90","349","385","91","44","27","5","15","55","63","30","1","70","3","3","0","1","13","2",".261","16556"
"Matt Beaty","LAD","76","142","162","37","29","3","1","4","25","29","12","0","30","8","0","0","2","1","1",".261","17710"
"Tomas Nido","NYM","37","96","103","25","19","2","1","3","13","12","4","1","26","3","0","0","2","0","0",".260","13755"
"Carson Kelly","ARI","50","150","187","39","25","6","0","8","22","26","28","1","38","5","4","0","5","0","0",".260","13620"
"Brendan Rodgers","COL","44","147","164","38","26","6","1","5","14","20","11","0","31","5","1","0","2","0","0",".259","17907"
"Wil Myers","SDP","85","267","303","69","43","13","1","12","31","44","33","2","84","0","3","0","6","5","5",".258","10047"
"Kole Calhoun","ARI","18","62","65","16","11","3","0","2","6","6","3","0","14","0","0","0","2","1","0",".258","11200"
"Isiah Kiner-Falefa","TEX","93","372","395","96","71","17","2","6","45","30","13","1","63","7","2","1","6","15","2",".258","16512"
"Nolan Arenado","STL","91","349","380","90","46","26","1","17","43","56","26","4","50","2","3","0","11","1","0",".258","9777"
"Giancarlo Stanton","NYY","72","264","303","68","44","9","0","15","30","43","37","1","85","1","1","0","13","0","0",".258","4949"
"Leury Garcia","CHW","75","241","278","62","46","10","3","3","37","39","27","0","64","1","3","6","5","2","1",".257","5913"
"Jeff McNeil","NYM","57","175","199","45","37","5","0","3","22","15","18","0","26","6","0","0","3","1","0",".257","15362"
"Nate Lowe","TEX","91","323","379","83","60","10","1","12","40","43","52","0","100","2","2","0","10","4","0",".257","19566"
"Avisail Garcia","MIL","83","296","325","76","48","11","0","17","39","57","21","3","84","6","2","0","8","4","3",".257","5760"
"Jose Ramirez","CLE","85","304","348","78","40","18","1","19","61","52","35","6","47","6","3","0","10","8","2",".257","13510"
"Ryan McMahon","COL","89","312","346","80","45","18","1","16","53","48","29","2","92","1","4","0","6","4","1",".256","15112"
"Christian Vazquez","BOS","82","285","309","73","55","14","0","4","33","34","19","0","59","2","3","0","6","8","1",".256","9774"
"Alex Kirilloff","MIN","57","211","227","54","34","11","1","8","23","34","14","2","51","1","1","0","3","1","1",".256","20325"
"Mark Canha","OAK","76","278","334","71","44","12","4","11","55","33","40","0","69","15","1","0","6","7","1",".255","11445"
"Trey Mancini","BAL","89","337","376","86","51","18","1","16","50","57","33","1","86","5","1","0","12","0","0",".255","15149"
"Tommy Edman","STL","91","369","394","94","66","20","3","5","47","26","20","0","49","3","1","1","2","16","3",".255","19470"
"Eddie Rosario","CLE","78","283","306","72","49","15","1","7","29","46","17","0","47","1","3","2","3","9","2",".254","12155"
"Pete Alonso","NYM","81","283","322","72","43","12","0","17","40","49","31","2","66","5","3","0","9","1","0",".254","19251"
"Dominic Smith","NYM","87","291","324","74","52","13","0","9","34","38","23","2","77","7","3","0","10","2","1",".254","15653"
"Jace Peterson","MIL","46","122","151","31","20","6","1","4","23","21","26","0","32","1","2","0","0","6","0",".254","12325"
"Willians Astudillo","MIN","41","122","127","31","23","4","0","4","10","12","2","0","10","2","1","0","5","0","0",".254","15608"
"Willie Calhoun","TEX","59","205","226","52","37","8","2","5","23","19","19","0","27","2","0","0","3","0","2",".254","17838"
"Yandy Diaz","TBR","79","276","331","70","55","10","0","5","37","32","52","2","50","2","1","0","3","0","0",".254","16578"
"Miguel Andujar","NYY","45","154","162","39","31","2","0","6","19","12","7","0","28","0","1","0","8","0","1",".253","15878"
"Josh Naylor","CLE","69","233","250","59","39","13","0","7","28","21","14","1","45","2","0","0","7","1","0",".253","18839"
"Brandon Belt","SFG","55","170","201","43","23","7","2","11","30","28","28","0","65","2","1","0","4","3","1",".253","10264"
"Kyle Schwarber","WSN","72","265","303","67","33","9","0","25","42","53","31","1","88","5","2","0","4","1","1",".253","16478"
"Guillermo Heredia","ATL","62","198","225","50","25","21","0","4","31","20","20","2","56","6","1","0","5","0","0",".253","18721"
